,Author of Tweet,Compound Score,Negative Score,Neutral Score,Positive Score,Text,Time of Tweet
0,@BBCWorld,0.0,0.0,1.0,0.0,Can the ad industry persuade us to eat more vegetables? https://t.co/Jtss2hwwHd,Wed Mar 28 00:41:30 +0000 2018
1,@BBCWorld,0.2732,0.0,0.792,0.208,5 pop songs you didn't know were about God https://t.co/lL4RlGDqWc,Wed Mar 28 00:33:33 +0000 2018
2,@BBCWorld,0.4404,0.0,0.804,0.196,Kim Jong-un's Beijing visit is considered a significant step in North Korea's preparation for talks agreed in princ… https://t.co/eD7Xv8h709,Wed Mar 28 00:16:30 +0000 2018
3,@BBCWorld,0.5859,0.0,0.817,0.183,"@BBCBreaking North Korea's leader Kim Jong-un has visited Beijing and held ""successful talks"" with Chinese leader X… https://t.co/bvNkLb8m89",Wed Mar 28 00:04:15 +0000 2018
4,@BBCWorld,0.0,0.0,1.0,0.0,China confirms Kim Jong-un visit https://t.co/eRxfJKgLZc,Tue Mar 27 23:50:38 +0000 2018
5,@BBCWorld,-0.7841,0.463,0.537,0.0,Fired Vancouver waiter case: Are the French really rude? https://t.co/ETb72MasiY,Tue Mar 27 23:50:38 +0000 2018
6,@BBCWorld,0.5095,0.0,0.798,0.202,RT @BBCDanielS: BBC Exclusive interview with Sergei Skripal’s niece: “I would really like to know how they are” https://t.co/UQHT7fZv2y,Tue Mar 27 21:37:00 +0000 2018
7,@BBCWorld,0.0,0.0,1.0,0.0,"This 'smoking' elephant in India is baffling experts

https://t.co/4oBCX8OR7q https://t.co/5nVKiPNUZF",Tue Mar 27 21:20:33 +0000 2018
8,@BBCWorld,-0.2516,0.229,0.603,0.168,Spy poisoning: 'I would really like to know how they are' https://t.co/6hK6i3Co1S,Tue Mar 27 20:14:24 +0000 2018
9,@BBCWorld,0.0,0.0,1.0,0.0,Brazilian sports reporters tackle on-air groping https://t.co/MOxFd4yreE,Tue Mar 27 19:19:12 +0000 2018
10,@BBCWorld,0.6705,0.13,0.538,0.332,"RT @BBCNews: Owl ring-bearer attacks best man at wedding... prompting hoots of laughter ?

https://t.co/DjhjEdoYhy https://t.co/2x3bedxedn",Tue Mar 27 18:14:45 +0000 2018
11,@BBCWorld,-0.25,0.222,0.778,0.0,Nearly a million watch cat stuck up pole https://t.co/aw9PbAliF3,Tue Mar 27 18:13:18 +0000 2018
12,@BBCWorld,-0.5106,0.202,0.798,0.0,"RT @BBCSport: Australia coach Darren Lehmann denied ball-tampering during the Ashes when questioned at Johannesburg airport by @danroan 

W…",Tue Mar 27 18:02:09 +0000 2018
13,@BBCWorld,-0.4588,0.143,0.857,0.0,"RT @richard_conway: Sanctions announced against the three players within 24 hours by Cricket Australia. 
A nation is incensed, a Prime Mini…",Tue Mar 27 17:57:01 +0000 2018
14,@BBCWorld,0.7964,0.0,0.664,0.336,"I want to apologise to ""kids who love cricket and idolise the players"" - Cricket Australia boss James Sutherland on… https://t.co/evTGNOU23c",Tue Mar 27 17:51:11 +0000 2018
15,@BBCWorld,0.2023,0.0,0.913,0.087,"RT @richard_conway: Smith, Bancroft and Warner said to be only players with knowledge of ball tampering intentions... significant words in…",Tue Mar 27 17:41:16 +0000 2018
16,@BBCWorld,-0.34,0.194,0.806,0.0,Russia fire: Protester spoke on the phone to dying wife https://t.co/YDLIjNDGNg,Tue Mar 27 17:40:24 +0000 2018
17,@BBCWorld,0.0,0.0,1.0,0.0,"RT @bbctms: James Sutherland says only 3 people involved in ball tampering incident. 

Steve Smith, David Warner &amp; Cameron Bancroft. 

""Ser…",Tue Mar 27 17:34:28 +0000 2018
18,@BBCWorld,0.0,0.0,1.0,0.0,RT @richard_conway: Full statement from Cricket Australia: https://t.co/GqIh4ynYtE,Tue Mar 27 17:33:54 +0000 2018
19,@BBCWorld,0.0,0.0,1.0,0.0,"Australia ball-tampering: Steve Smith, David Warner, Cameron Bancroft sent home https://t.co/gBTooWUkS4",Tue Mar 27 17:32:03 +0000 2018
20,@BBCWorld,0.0,0.0,1.0,0.0,Can the ad industry persuade us to eat more vegetables? https://t.co/Jtss2hwwHd,Wed Mar 28 00:41:30 +0000 2018
21,@BBCWorld,0.2732,0.0,0.792,0.208,5 pop songs you didn't know were about God https://t.co/lL4RlGDqWc,Wed Mar 28 00:33:33 +0000 2018
22,@BBCWorld,0.4404,0.0,0.804,0.196,Kim Jong-un's Beijing visit is considered a significant step in North Korea's preparation for talks agreed in princ… https://t.co/eD7Xv8h709,Wed Mar 28 00:16:30 +0000 2018
23,@BBCWorld,0.5859,0.0,0.817,0.183,"@BBCBreaking North Korea's leader Kim Jong-un has visited Beijing and held ""successful talks"" with Chinese leader X… https://t.co/bvNkLb8m89",Wed Mar 28 00:04:15 +0000 2018
24,@BBCWorld,0.0,0.0,1.0,0.0,China confirms Kim Jong-un visit https://t.co/eRxfJKgLZc,Tue Mar 27 23:50:38 +0000 2018
25,@BBCWorld,-0.7841,0.463,0.537,0.0,Fired Vancouver waiter case: Are the French really rude? https://t.co/ETb72MasiY,Tue Mar 27 23:50:38 +0000 2018
26,@BBCWorld,0.5095,0.0,0.798,0.202,RT @BBCDanielS: BBC Exclusive interview with Sergei Skripal’s niece: “I would really like to know how they are” https://t.co/UQHT7fZv2y,Tue Mar 27 21:37:00 +0000 2018
27,@BBCWorld,0.0,0.0,1.0,0.0,"This 'smoking' elephant in India is baffling experts

https://t.co/4oBCX8OR7q https://t.co/5nVKiPNUZF",Tue Mar 27 21:20:33 +0000 2018
28,@BBCWorld,-0.2516,0.229,0.603,0.168,Spy poisoning: 'I would really like to know how they are' https://t.co/6hK6i3Co1S,Tue Mar 27 20:14:24 +0000 2018
29,@BBCWorld,0.0,0.0,1.0,0.0,Brazilian sports reporters tackle on-air groping https://t.co/MOxFd4yreE,Tue Mar 27 19:19:12 +0000 2018
30,@BBCWorld,0.6705,0.13,0.538,0.332,"RT @BBCNews: Owl ring-bearer attacks best man at wedding... prompting hoots of laughter ?

https://t.co/DjhjEdoYhy https://t.co/2x3bedxedn",Tue Mar 27 18:14:45 +0000 2018
31,@BBCWorld,-0.25,0.222,0.778,0.0,Nearly a million watch cat stuck up pole https://t.co/aw9PbAliF3,Tue Mar 27 18:13:18 +0000 2018
32,@BBCWorld,-0.5106,0.202,0.798,0.0,"RT @BBCSport: Australia coach Darren Lehmann denied ball-tampering during the Ashes when questioned at Johannesburg airport by @danroan 

W…",Tue Mar 27 18:02:09 +0000 2018
33,@BBCWorld,-0.4588,0.143,0.857,0.0,"RT @richard_conway: Sanctions announced against the three players within 24 hours by Cricket Australia. 
A nation is incensed, a Prime Mini…",Tue Mar 27 17:57:01 +0000 2018
34,@BBCWorld,0.7964,0.0,0.664,0.336,"I want to apologise to ""kids who love cricket and idolise the players"" - Cricket Australia boss James Sutherland on… https://t.co/evTGNOU23c",Tue Mar 27 17:51:11 +0000 2018
35,@BBCWorld,0.2023,0.0,0.913,0.087,"RT @richard_conway: Smith, Bancroft and Warner said to be only players with knowledge of ball tampering intentions... significant words in…",Tue Mar 27 17:41:16 +0000 2018
